head,type,tail
T1CMs,instance of,homotypic
4T1@DOX/CS NPs,part of,4T1@DOX/CS NPs
4T1@DOX/CS NPs,has part,4T1@DOX/CS NPs
RBC CM,instance of,hybrid membrane
RBC 4T1,instance of,hybrid membrane
antivirulence therapy,facet of,virulence factor
bathed in daily and seasonal sunlight cycles,facet of,planet
opsin,subclass of,G protein coupled receptor
Opsin function,use,visual sense
camouflage,uses,extraocular light sensing
recent evidence suggests otherwise,facet of,extraocular light sensing
neuropsin,subject has role,extraocular light sensing
photoreception,part of,extraocular
GWAS,facet of,Genome wide association studies
Women's Health Study,instance of,cross sectional analysis
acyclic pelvic pain,subclass of,Endometriosis
W81XWH1910318,parent organization,Department of Defense
J. Willard,spouse,Alice S. Marriott Foundation
Alice S. Marriott Foundation,spouse,J. Willard
S.A.M.,part of,A.F.N.
A.F.N.,has part,S.A.M.
A.F.N.,has part,K.L.
K.L.,part of,A.F.N.
B.S.,said to be the same as,C.B.
C.B.,said to be the same as,B.S.
MIRA Award,conferred by,NIGMS
S.A.M.,instance of,A
K.L.and K.T.,has part,K.L.and K.T.
K.L.and K.T.,part of,K.L.and K.T.
K.L.and K.T.,has part,K.L.and K.T.and K.T.
NICHD,has part,R01HD094842
R01HD094842,part of,NICHD
AbbVie,parent organization,Roche
Roche,subsidiary,AbbVie
EGFR mutation analysis,studies,EGFR
EGFR,studied by,EGFR mutation analysis
EGFR,has effect,EGFR mutation identification
EGFR mutation identification,has cause,EGFR
exon 19,followed by,exon 21
exon 21,follows,exon 19
Exon 18,part of,EGFR
exon 20,part of,EGFR
EGFR,has part,Exon 18
EGFR,has part,exon 20
Comirnaty,instance of,mRNA vaccine
Spikevax,instance of,mRNA vaccine
effective delivery system,subclass of,delivery system
Lipid nanoparticle,based on,mRNA
mRNA,has part,LNP
LNP,part of,mRNA
Nrf2,part of,Nuclear factor (erythroid derived 2) like 2
Nrf2 agonist,studied by,deep learning screening
well tempered metadynamics extended adaptive biasing force,instance of,sampling algorithm
ergodic sampling,facet of,geometrical route
multiple time stepping,subclass of,integration of the equations of motion
SH3 domain,part of,Abl kinase
Holzer et al.,notable work,Holzer et al.
Holzer et al.,author,Holzer et al.
Naringin,has part,"4',5,7 trihydrocyflavanone 7 = = = = = = = = DNA damage"
"4',5,7 trihydrocyflavanone 7 = = = = = = = = DNA damage",part of,Naringin
treatment regime,part of,6 weeks
Asparagine synthetase,part of,unfolded protein response
UPR,has cause,DNA damage
DNA damage,has effect,UPR
miR 433,instance of,miRNA
miR 433,part of,Cancer Genome Atlas
genetic circuits,part of,Synthetic biological systems
sensing module,subclass of,Genetic circuit
regulation module,subclass of,Genetic circuit
signal output module,subclass of,Genetic circuit
signal output modes,different from,signal amplification
signal output,different from,signal amplification
signal amplification,different from,signal output modes
signal amplification,different from,signal output
Ribozyme,subclass of,RNA
conjugation site,followed by,cleavage site
cleavage site,follows,conjugation site
radioactively labeled DNA primers,use,gel electrophoresis
Adverse conditions in early life,has effect,adult health
adult health,has cause,Adverse conditions in early life
Early life adversity,has effect,social adversity in adulthood
social adversity in adulthood,has cause,Early life adversity
social behavior,has effect,adult survival
adult survival,has cause,social behavior
Amboseli,country,Kenya
nonspherical,subclass of,base shape
HDAC3,part of,mitochondrial complex I
HDAC3,part of,complex I
complex I,has part,HDAC3
COVID 19 pandemic,country,United States
SARS CoV 2,location,New York City
20 years of age,followed by,45 years old
45 years old,follows,20 years of age
Switzerland,capital,Geneva
Geneva,country,Switzerland
younger than 65 years old,opposite of,older individuals
older individuals,opposite of,younger than 65 years old
income inequality,has cause,Gini index
Gini index,has effect,income inequality
healthcare access,facet of,developed countries
genome wide association studies,followed by,phenome wide association studies
phenome wide association studies,follows,genome wide association studies
genitourinary,part of,circulatory system
GWAS,has part,PheWAS
PheWAS,part of,GWAS
Bacterial CLP,subclass of,triple helices
constructs,subclass of,Protein
complex biology,studies,biological characteristics
biological characteristics,studied by,complex biology
SARS CoV 2,has effect,symptom onset
symptom onset,has cause,SARS CoV 2
COVID 19,has effect,asymptomatic
asymptomatic,has cause,COVID 19
RT qPCR,use,viral isolation
Delta,subclass of,Viral sequences
Lambda,subclass of,Viral sequences
Gamma,subclass of,Viral sequences
Omicron,subclass of,Viral sequences
Omicron,subject has role,persistent
wildlife tag,subclass of,tags
solar panel,different from,solar cell
solar cell,different from,solar panel
battery longevity,facet of,battery weight
Sigfox,use,Internet of Things
Exmoor pony,subclass of,wild roaming
Exmoor pony,instance of,wisent
coronavirus receptor,has part,S protein
SARS CoV S,different from,SARS CoV 2 S
SARS CoV 2 S,different from,SARS CoV S
SARS CoV S,has cause,T813S
Spike fusogenicity,parent taxon,Sarbecovirus
Global Alliance for Genomics and Health,instance of,standards setting organization
phenopacket tools,programming language,Java
Phenopacket tools,use,phenopackets
Java library,has part,command line tool
command line tool,part of,Java library
API documentation,subclass of,user guide
Maven Central,instance of,artifact repository
CO2 fixation,subclass of,Phase separation
TurboID,part of,pyrenoid proxiome
pyrenoid,part of,RNA
Chlamydomonas,has part,organellar
organellar,part of,Chlamydomonas
habitat suitability model,facet of,conservation problems
direct,opposite of,indirect effects of climate
indirect effects of climate,opposite of,direct
shared effects,subclass of,explained deviance
climate only model,facet of,habitat suitability
Southwest,country,China
cumulative incidence ratio,facet of,intention to treat analysis
Ministry of Health of China,subsidiary,Chinese Academy of Medical Sciences
Chinese Academy of Medical Sciences,parent organization,Ministry of Health of China
Northeast,part of,Asia
Asia,has part,Northeast
bicarbonate,subject has role,alkaline saline water
cliff recession,facet of,population size
Topical steroid,medical condition treated,EoE
EoE,drug used for treatment,Topical steroid
oral viscous budesonide,medical condition treated,repaired esophageal atresia
repaired esophageal atresia,drug used for treatment,oral viscous budesonide
EoE EA,instance of,age banded
safety assessment,subclass of,Secondary endpoint
OVB,instance of,1.0
Histological remission,instance of,87.5%
No treatment emergent adverse event,subclass of,TEAE
budesonide,medical condition treated,EoE EA
EoE EA,drug used for treatment,budesonide
pri miRNA,subclass of,miRNA
HYPONASTIC LEAVES 1,subclass of,pri miRNAs
pri miRNA,subclass of,MIRNA
negative feedback loop,has effect,self buffering system
self buffering system,has cause,negative feedback loop
IPO11,has effect,non small cell lung cancer
single clone selection,subclass of,lentiviral transduction
Zhejiang,located in the administrative territorial entity,China
China,contains administrative territorial entity,Zhejiang
smiFISH,subclass of,FISH
CD69+CD103+,subclass of,tissue resident memory T
Myelodysplastic syndrome,subclass of,myelodysplastic neoplasm
MDS,drug used for treatment,MDS treatments
MDS treatments,medical condition treated,MDS
hypomethylating agent,subclass of,first line therapy
Allogenic stem cell transplantation,medical condition treated,MDSs
MDSs,drug used for treatment,Allogenic stem cell transplantation
non muscle myosin II,subclass of,F actin
reproductive barrier,has cause,introgression
introgression,has effect,reproductive barrier
cross kingdom treatment,part of,common garden experiment
host genotype,has effect,parasite treatment
parasite treatment,has cause,host genotype
CellMap,use,cross linked
Scbrainmap,instance of,Database
phase 3,part of,ClinicalTrials.gov
initial PEP,followed by,final reported PEP
final reported PEP,follows,initial PEP
PEP,studied by,detection methods
detection methods,studies,PEP
PEP,has part,PEP
PEP,part of,PEP
multiple versions,opposite of,no protocol
no protocol,opposite of,multiple versions
Canadian,language used,English language
English language,country,Canadian
Vancouver,country,Canada
Calgary,country,Canada
Montréal,country,Canada
Toronto,country,Canada
Vancouver,twinned administrative body,Montréal
Montréal,twinned administrative body,Vancouver
taux d’obésité,part of,régimes alimentaires
régimes alimentaires,has part,taux d’obésité
enfants,opposite of,jeunes
jeunes,opposite of,enfants
modèle de profilage des nutriments,part of,Santé Canada et des techniques de marketing
Santé Canada et des techniques de marketing,has part,modèle de profilage des nutriments
points d’exposition bruts et les différences entre les sexes,has part,décrites en valeurs relatives et en valeurs absolues
décrites en valeurs relatives et en valeurs absolues,part of,points d’exposition bruts et les différences entre les sexes
différences claires entre les sexes,subclass of,exposition des enfants à la publicité alimentaire
Les enfants et les jeunes,has part,les jeunes
les jeunes,part of,les enfants et les jeunes
Phosphatidylinositol 4 monophosphate,instance of,precursor
PtdIns(4)P,subclass of,lipid transfer protein
PtdIns(4)P,part of,Golgi
PtdIns(4)P,has part,ceramide
Eocene,followed by,Ice Age
Ice Age,follows,Eocene
1819,point in time,1819
Atlantic Forest,country,Brazil
São Paulo,country,Brazil
Bahia,country,Brazil
Brazil,contains administrative territorial entity,São Paulo
Brazil,contains administrative territorial entity,Bahia
Pierina,instance of,subtribe
Leptophobia,parent taxon,Leptophobia clade
Leptophobia,parent taxon,Pierina
empty pupal case,instance of,systematic position
health related quality of life,said to be the same as,HR QoL
HR QoL,said to be the same as,health related quality of life
HR QoL,country,Uganda
Mulago Hospital,located in the administrative territorial entity,Kampala
Mulago Hospital,country,Uganda
HR QoL,uses,St. George Respiratory Questionnaire
SGRQ,facet of,HR QoL
CPA,has part,PTB
HR QoL,facet of,overall health
SGRQ,has part,total scores
total scores,part of,SGRQ
HR QoL,facet of,PTB
HR QoL,facet of,management of CPA
amyloid fibrils,has part,amylin peptide
1 Anilino 8 naphthalene sulfonate,instance of,thioflavin
docking studies,uses,interaction sites
histidine 18,has part,hydrophobic bond
13.1,point in time,13
ECM,has part,Collagen
fibrotic lung disease,has cause,Collagen
lung on a chip,subclass of,engineered systems
ECM,part of,mechanosignaling
lineage tracing,subclass of,genetic model
chronic pulmonary disease,instance of,third leading cause of death
pulmonary physician,field of this occupation,pulmonary health care
pulmonary health care,practiced by,pulmonary physician
F box protein,subclass of,structural assembly
E3 ubiquitin ligase,subclass of,ligase
NOX pathway,subclass of,redox signaling
COX pathway,subclass of,redox signaling
myeloperoxidase pathway,subclass of,redox signaling
Inflammaging,instance of,hallmark of aging
IL 6,subject has role,inflammaging
IL 1β,subject has role,inflammaging
TNF α,subject has role,inflammaging
four way ANOVA,studies,significant decrease in IL 6 concentrations
significant decrease in IL 6 concentrations,studied by,four way ANOVA
senior,opposite of,geriatric dog
geriatric dog,opposite of,senior
intact females,opposite of,intact males
intact males,opposite of,intact females
neutering,different from,spaying
IL 1β,has effect,immune related diseases
Blainville's horned lizard,heritage designation,Species of Special Concern
non native ant,opposite of,native ant
California Conservation Genomics Project,operator,Pacific Biosciences
Nitrospira,parent taxon,Nitrospira
Nitrospira,parent taxon,comammox
Nitrospira,subclass of,comammox
PBF 1129,medical condition treated,NSCLC
NSCLC,drug used for treatment,PBF 1129
PFAS mixtures,has part,PFAS
single PFAS,has effect,benchmark concentration
benchmark concentration,has cause,single PFAS
Damselflies,instance of,taxa
Odonata,instance of,taxa
California Conservation Genomics Project,located in the administrative territorial entity,California
Hetaerininae,parent taxon,Odonata
Hetaerina,parent taxon,rubyspot damselfly
secondary alterations in biochemical processes,subclass of,metabolic defect
GAG metabolism,instance of,biochemical pathways
Gammaretrovirus,parent taxon,Retroviridae
São Luís,located in the administrative territorial entity,Maranhão
São Luís,country,Brazil
Maranhão,capital,São Luís
Maranhão,country,Brazil
Brazil,contains administrative territorial entity,Maranhão
ELISA,subclass of,immunoenzymatic assay
FeLV,instance of,gag gene
FeLV A,subclass of,FeLV
B,subclass of,FeLV
C,subclass of,FeLV
A,followed by,B
AB combination,different from,ABC combination
ABC combination,different from,AB combination
Eastern Asia,has part,Japan
Japan,part of,Eastern Asia
Southeast Asia,has part,Malaysia
Malaysia,part of,Southeast Asia
photosynthetic machinery,part of,plant metabolism
plant metabolism,has part,photosynthetic machinery
disruptive analytical methods,facet of,living systems
fluorescent proteins,subclass of,Genetically encoded
flavodoxin,subject has role,redox poise
reduced ferredoxin,subject has role,reducing equivalents
protein families,has part,functionally relevant checks and balances
functionally relevant checks and balances,part of,protein families
MND1,subclass of,meiotic recombination co factor
replication associated DSBs,opposite of,one ended DSBs
one ended DSBs,opposite of,replication associated DSBs
G2 phase,opposite of,S phase
S phase,opposite of,G2 phase
RAD51,part of,ssDNA
MND1,subject has role,HR repair
iMG 1,subclass of,immortalized neural progenitor cells
IL1 β,encodes,IL 6
brain mapping,part of,systems neuroscience
tertiary sulcal morphology,part of,lateral prefrontal cortex
tertiary sulci,subclass of,sulci
posterior middle frontal sulcus,part of,posterior middle frontal gyrus
posterior middle frontal gyrus,has part,posterior middle frontal sulcus
right,opposite of,left hemisphere
left hemisphere,opposite of,right
ICD 10,main subject,COVID 19 mortality
PWH,facet of,HIV
PWH,has cause,SARS CoV 2 polymerase chain reaction positivity
SARS CoV 2 polymerase chain reaction positivity,has effect,PWH
ICD 10,facet of,electronic health record
PWoH,has cause,SARS CoV 2 infection
Death,part of,PWH
PWH,has part,Death
PWH,facet of,COVID 19
How can one be used in the other,different from,used in the other
used in the other,different from,How can one be used in the other
New York City,contains administrative territorial entity,Manhattan
Manhattan,located in the administrative territorial entity,New York City
Harvard University,has part,John F. Kennedy School of Government
Cronobacter dublinensis,Gram staining,Gram negative
Aspergillus fumigatus,subject has role,Thermotolerance
saturated/unsaturated FA balance,facet of,membrane lipid
A. fumigatus Δ9 fatty acid desaturase,parent taxon,Mycobacterium tuberculosis
drop off droplet digital PCR,facet of,isoniazid
Carbapenem,different from,Glyphosate
Glyphosate,different from,Carbapenem
American Board of Genetic Counselors,field of work,genetic counselor
IRGC,subclass of,IRG
ATG2,followed by,ATG9
ATG18a,followed by,ATG9
ATG9,follows,ATG2
ATG9,follows,ATG18a
Protein glycosylation and phosphorylation,subclass of,post translational modification
pump and Stokes,subclass of,vibrational mode
Broadband CARS,has part,pump pulses
Broadband CARS,has part,Stokes pulses
cryptochrome,subclass of,flavoprotein
night migratory,parent taxon,European robin
diffuse intrinsic pontine glioma,subclass of,Diffuse midline glioma
Palliative radiotherapy,subclass of,only established treatment
ONC201,subject has role,DRD2 antagonist
ONC201,subject has role,ClpP agonist
DIPG,drug used for treatment,ONC201
ONC201,medical condition treated,DIPG
paxalisib,subject has role,PI3K/Akt inhibitor
NCT05009992,part of,phase II
endogenously released TEVs,subclass of,EVs
NB cell,subclass of,MEL
metastatic organs,subclass of,organotropic
metastatic organs,opposite of,non metastatic organs
non metastatic organs,subclass of,organotropic
non metastatic organs,opposite of,metastatic organs
response time,different from,response speed
response speed,different from,response time
Yin Yang interface design,instance of,design strategy
DI SPA,subclass of,stoichiometry
DI SPA,instance of,label free quantification
pyridinium ionic liquids,has part,pyridinium
micropore,subclass of,amorphous structure
National Collection of Type Cultures,inception,1 January 1920
Pacific Biosciences,parent organization,Wellcome Sanger Institute
Wellcome Sanger Institute,subsidiary,Pacific Biosciences
NCTC3000,has part,genome assemblies and annotations
genome assemblies and annotations,part of,NCTC3000
normalization of blood test results,medical condition treated,MS
Sham,parent taxon,Wistar albino rats
OIR,different from,OIR group
OIR group,different from,OIR
Tocilizumab,medical condition treated,ischemia reperfusion injury due to ovarian torsion
ischemia reperfusion injury due to ovarian torsion,drug used for treatment,Tocilizumab
MC3T3 E1,subclass of,osteoblastic cells
osteogenic medium,has part,GSE
GSE,part of,osteogenic medium
Cell proliferation,part of,culture
In situ,studies,mineralization
mineralization,studied by,In situ
control group,has part,GSE0.1
control group,has part,GSE1.0
GSE0.1,part of,control group
GSE1.0,part of,control group
bleach,has part,chlorine
deochlor,has part,H2O2
Murashige,instance of,medium
Skoog,instance of,medium
raspberry  MS medium,has part,L 1 BAP
raspberry  MS medium,has part,L 1 IBA
raspberry  MS medium,has part,L 1 iron chelate
raspberry  MS medium,has part,L 1 sucrose
MS medium,has part,L 1
L 1,part of,MS medium
oral squamous cell carcinoma,has effect,oral leukoplakia
NM,part of,OSCC
OSCC,has part,NM
OSCC,has part,Col7 expression
OL without dysplasia,opposite of,OL with dysplasia
OL with dysplasia,opposite of,OL without dysplasia
clinical stage 4,opposite of,clinical stage 1
clinical stage 1,opposite of,clinical stage 4
Col7,part of,OSCC
DMFT,subclass of,gingival and plaque index
gingival inflammation,subclass of,dental caries
CIARA,instance of,cluster independent computational tool
single cell omic data,instance of,data modalities
CIARA,programming language,R
CIARA,programming language,Python
Super enhancer,subclass of,regulatory role
SEanalysis,instance of,web server
human SEs,has part,mouse SEs
human SEs,has part,human SEs
mouse SEs,has part,human SEs
SEanalysis 2.0,follows,1.0
1.0,followed by,SEanalysis 2.0
TF regulatory analysis,instance of,novel analysis model
Sample comparative analysis,instance of,novel analysis model
SEanalysis 2.0,use,SEs
interferon stimulated gene,has part,Janus kinase
Mol*VS,based on,Mol* Volumes and Segmentations
Mol*VS,part of,Mol* Viewer
Mol* Viewer,has part,Mol*VS
EMDB,has part,Mol*VS
Mol*VS,part of,EMDB
Amira.am,part of,Mol*VS
iMod.mod,part of,Mol*VS
Segger.seg,part of,Mol*VS
polycistronic,has part,transcription unit
transcription unit,part of,polycistronic
Leishmania major,has effect,Trypanosoma brucei
Trypanosoma brucei,has cause,Leishmania major
PJW/PP1 complex,has part,JBP3
PJW/PP1 complex,has part,PP1 phosphatase 1
PJW/PP1 complex,has part,PP1 interactive regulatory protein
PJW/PP1 complex,has part,Wdr82
JBP3,part of,PJW/PP1 complex
PP1 phosphatase 1,part of,PJW/PP1 complex
PP1 interactive regulatory protein,part of,PJW/PP1 complex
Wdr82,part of,PJW/PP1 complex
PP1,part of,Pol II transcription termination
Pol II transcription termination,has part,PP1
PJW/PP1 complex,has part,PP1
PNUTS,subclass of,holoenzymes
DICOM RT,has part,RT Dose
RT Dose,part of,DICOM RT
MBDCAs,subclass of,embedded tools
MBDCA,different from,MBDCA
Anemia,studied by,complex etiology
complex etiology,studies,Anemia
data driven,subclass of,evidence based
poor use of data,subclass of,lack of data
RV indices,facet of,myocyte dysfunction
contractile depression,studied by,biophysical mechanisms
biophysical mechanisms,studies,contractile depression
Unsupervised machine learning,studies,myocyte mechanical data
myocyte mechanical data,studied by,Unsupervised machine learning
peak power,instance of,contractile measures
x ray diffraction,studies,myofibrillar structure
thick filament backbone,subclass of,myosin heads
crossbridge ready disordered relaxed,subclass of,RV function
DRX,facet of,calcium activated tension
DRX,has part,myosin heads
myosin heads,part of,DRX
Hg contamination of human food,has cause,mercury (Hg)
Sulfur(S) regulated Hg transformation,subclass of,Hg cycling
intron,part of,coding region
ketogenic diet,subclass of,low carb
fatty acid oxidation,part of,ketogenic diet
OPCs,part of,ME region
ME region,has part,OPCs
STIM1 (stromal interaction molecule 1),has part,Ca
regulatory mechanisms,has part,N
N,part of,regulatory mechanisms
N,has part,N
RHO GTPases of Plants,subclass of,nanodomain dynamics
nanodomain,subclass of,feedback mechanisms
Sonic Hedgehog,has part,ZRS enhancer
Beauty,different from,word typically associated with science
word typically associated with science,different from,Beauty
practice of science,subclass of,scientific process
insurance coverage,country,Japan
CHD,subclass of,interrupted time series
Dengue fever,has cause,Dengue virus
Dengue virus,has effect,Dengue fever
DENV 2,has part,NS2B
DENV 2,has part,NS3
NS2B,part of,DENV 2
NS3,part of,DENV 2
annual strategy,facet of,flowering plants
annuals,opposite of,perennials
perennials,opposite of,annuals
SPX domain containing protein,part of,PHOSPHATE STARVATION RESPONSE protein
PHOSPHATE STARVATION RESPONSE protein,has part,SPX domain containing protein
GR24,instance of,SL synthetic analogue
insensitive root adaptation to Pi,subclass of,Pi starvation
SDEL1,has part,SPX4
SL,instance of,signalling network
Pi,instance of,signalling network
SPATCCM,subclass of,spastic tetraplegia
SLC1A4,subclass of,amino acid duplication
SLC1A4,subject has role,N glycosylation defect
Hofmeister effect,part of,Hofmeister series
Hofmeister series,has part,Hofmeister effect
Hofmeister effect,named after,Hofmeister
Hofmeister effect,instance of,inter  and intramolecular interactions
poly(ionic liquid),subclass of,photonic array
optical signals,has part,photonic structures
photonic structures,part of,optical signals
PILs,subclass of,photonic structures
principal component analysis,studies,HS positions
HS positions,studied by,principal component analysis
Hoffmeister effect,subclass of,HS
mitomycin C,medical condition treated,FA
FA,drug used for treatment,mitomycin C
2009 World Cup,point in time,2009
FA,opposite of,AA
AA,opposite of,FA
dicentric + ring,subclass of,total aberrations
Adenosine monophosphate activated protein kinase,part of,muscle mass regulation
dominant negative,subclass of,overexpressing
5 aminoimidazole 4 carboxamide ribonucleotide,subject has role,AMPK
indirect calorimetry,subclass of,Metabolic phenotyping
AMPK,has part,α1
AMPK,has part,α2
AMPK,has part,γ1
AMPK,has part,γ3
α1,part of,AMPK
α2,part of,AMPK
γ1,part of,AMPK
γ3,part of,AMPK
TBC1D4,part of,AMPK
AMPK,has part,TBC1D4
chaperone mediated autophagy,subclass of,selective protein degradative pathway
global health problems,has cause,COVID 19
reverse transcriptase PCR,different from,LDI MS
fixing carbon dioxide,subclass of,metabolic reaction
RNA,has part,DNA
DNA,part of,RNA
BMC,use,bio material science
Phototherapy,has effect,therapeutic efficacy
therapeutic efficacy,has cause,Phototherapy
PEG TPZ,has part,tirapazamine
TDPP,subclass of,semiconducting polymer
TDPP@PEG TPZ NPs,subclass of,photothermal conversion efficiency
Rice,subclass of,staple food
Chhattisgarh,country,India
India,contains administrative territorial entity,Chhattisgarh
IgE mediated allergic airway disease,subclass of,Immunological reactions because of mosquito bite
E2,subclass of,envelope glycoprotein
P2,instance of,multi genotypic vaccine
P3,instance of,multi genotypic vaccine
P2,subclass of,Human Leukocyte Antigen
P3,subclass of,Human Leukocyte Antigen
P2,followed by,P3
P3,follows,P2
genomic structure,facet of,Sources of recolonizing kelp
Life cycle stage,different from,evolving independently from each other
evolving independently from each other,different from,Life cycle stage
adult stage,opposite of,juvenile stage
juvenile stage,opposite of,adult stage
adult stage,opposite of,larval stage
larval stage,opposite of,adult stage
PCR,use,Diagnosis of infectious agents
human secreted embryonic alkaline phosphatase,subclass of,reporter enzyme
SEAP,has part,S9.6 Fab
sperm DNA fragmentation,has effect,assisted reproduction
morphologically selected sperm injection,subclass of,sperm sorters
IVF,has part,ICSI
ICSI,part of,IVF
non male factor,subclass of,assisted reproductive technique
ICSI,opposite of,cIVF
cIVF,opposite of,ICSI
cIVF/ICSI,subclass of,infertility treatment
in vivo transfer,subclass of,functional events
Western flower thrips,parent taxon,Pergande
Guardian plant system,uses,GPS
Beauveria bassiana,parent taxon,Balsamo Crivelli
foliar damage,subclass of,WFT
controlled greenhouse conditions,opposite of,commercial greenhouse
commercial greenhouse,opposite of,controlled greenhouse conditions
IPM,uses,biological control agent
granular,subclass of,application rate
Tulip cultivation in Korea,country,Korea
mosaic,subclass of,yellowing of the leaves
streak,subclass of,yellowing of the leaves
Gangwon,instance of,Korean provinces
Gyeongbuk,instance of,Korean provinces
Gyeongnam,instance of,Korean provinces
Chungnam,instance of,Korean provinces
liquid nitrogen,use,ground
Madison,country,USA
TruSeq,developer,Illumina
lattice network,subclass of,dendritic network
cytologic screening of the uterine cervix,facet of,squamous cell carcinoma of the uterine cervix
immature metaplasia,subclass of,Cytologic features
transitional metaplasia,subclass of,Cytologic features
glandular lesion,subclass of,Cytologic features
CRNDE,part of,LGG biology
CGGC,instance of,LGG cohorts
GSE16011,instance of,LGG cohorts
CRNDE,instance of,Survival analysis
CRNDE,instance of,nomogram
GSEA,subclass of,Signaling pathway
HLAs,subclass of,Immun checkpoint
CRNDE,subclass of,shRNA
Up regulated CRNDE,has effect,unfavorable clinical outcomes
unfavorable clinical outcomes,has cause,Up regulated CRNDE
CRNDE expression,medical condition treated,LGG
LGG,drug used for treatment,CRNDE expression
Climate change,has effect,imminent threat
imminent threat,facet of,Climate change
Web of Science,instance of,key word search
PubMed,instance of,key word search
infectious disease research,studies,disease transmission
disease transmission,studied by,infectious disease research
systemic inequities,facet of,gender identities
low ,different from,middle income countries
middle income countries,different from,low 
regulatory mechanisms,subclass of,molecular pathways
Small hepatocyte like progenitor cell,subclass of,hepatocytic progenitor cell
Thy1 MCs,different from,Thy1 LSPCs
Thy1 LSPCs,different from,Thy1 MCs
chemotactic protein 1,part of,cytokine induced neutrophil chemoattractant 2
CINC 2,instance of,mimics
MCP 1,instance of,mimics
Il17b,has part,CINC 2
Il25,encodes,CINC 2
CINC 2,subject has role,SECs
miR 199a 5p,subject has role,mimics
Thy1 MCs,subclass of,EVs
lentic system,has part,pond
pond,part of,lentic system
Metagenome,has effect,bloom level
bloom level,has cause,Metagenome
O. latipes,taxonomic type,M. aeruginosa
M. aeruginosa,parent taxon,O. latipes
opportunists,subclass of,Firmicutes
gut community,subclass of,Bacterial communities
inositol supplementation,medical condition treated,idiopathic pulmonary fibrosis
idiopathic pulmonary fibrosis,drug used for treatment,inositol supplementation
IPOLπ,different from,IPOL
IPOL,different from,IPOLπ
Necroptosis,subclass of,programmed necrotic cell death
genetic model,use,recurrence prediction
Maftools,subclass of,Somatic mutation
high risk,opposite of,low risk
low risk,opposite of,high risk
TP53,instance of,somatic mutation
BSN,instance of,somatic mutation
APC,instance of,somatic mutation
TRANK1,instance of,somatic mutation
DNAH9,instance of,somatic mutation
SALL1,instance of,somatic mutation
low ,opposite of,high risk
high risk,opposite of,low 
Long intergenic non protein coding RNA 707,instance of,cancer associated long non coding RNA
esophageal squamous cell carcinoma,drug used for treatment,LINC00707
CCK 8,part of,ESCC
prognostic signature,subclass of,diagnostic marker
LINC00707,instance of,lncRNA
Breast Implant Associated Anaplastic Large Cell Lymphoma,has cause,Textured silicone breast implants
P,different from,N
N,different from,P
severe acute respiratory syndrome coronavirus 2,has effect,respiratory complications
public health practitioners,subclass of,Clinicians
RefSeq,uses,RNA
endomembrane system,part of,viral lifecycle
ER,has part,Golgi
Golgi,part of,ER
Urbana,country,U.S.
Illinois,country,U.S.
U.S.,contains administrative territorial entity,Illinois
natural field conditions,opposite of,controlled laboratory settings
Gene Ontology,part of,Kyoto Encyclopedia of Genes and Genomes
real time quantitative PCR,subclass of,PCR
high risk,opposite of,low risk
low risk,opposite of,high risk
Lysine succinylation,instance of,post translational modification
succinylation modification,has effect,TAAD
TAAD,has cause,succinylation modification
root morphology,has part,Arid1a
Pulmonary arterial hypertension,has cause,pathological pulmonary artery remodeling
pathological pulmonary artery remodeling,has effect,Pulmonary arterial hypertension
Notch ligand,part of,Notch signaling
cold shock domain,part of,Cold shock protein
γδT17 cell,subclass of,T cells
innate like,subclass of,T cells
IGFBP3,subclass of,insulin like growth factor binding protein 3
TGF β,subclass of,transforming growth factor
evolutionary theory,part of,modern scientific outlook
chemical food gradient,facet of,chemical gradient
goal directedness,facet of,evolutionary trends
field theory,studies,goal directed
goal directed,studied by,field theory
Shakespeare,notable work,Hamlet
Hamlet,author,Shakespeare
animal intentionality,instance of,intentionality
evolutionary directionality,facet of,history of life
women's,subclass of,scientists'
co breeders,subclass of,Reproductive sharing
within individual repeatability,facet of,Sociality
annual fitness,different from,lifetime fitness
lifetime fitness,different from,annual fitness
dynamic terminal investment threshold,facet of,terminal investment
field cricket,country of origin,Pacific
bivalve,subclass of,Invertebrates
simulated predators,opposite of,live predators
end of life,different from,end of life arises
end of life arises,different from,end of life
HAdV41,parent taxon,Human adenovirus
Visualizing RNA dynamics,facet of,RNA function
Catalytically dead(d) CRISPR Cas13,has part,Cas13
Cas13,part of,Catalytically dead(d) CRISPR Cas13
Cas13,subclass of,RNA labeling
Saint Etienne University Hospital,affiliation,CHUSTE
CHUSTE,affiliation,Saint Etienne University Hospital
WEB Shape Modification,facet of,aneurysm treatment
flat panel computed tomography,use,Quantitative WSM
1 day,instance of,index time point
6 months,instance of,index time point
HR,opposite of,WR
WR,opposite of,HR
WEB,has part,HR
WEB,has part,WR
HR,different from,WR
WR,different from,HR
aneurysm occlusion,has cause,WSM
multi centre study,country,China
non Hodgkin lymphoma,subclass of,acute lymphoblastic leukaemia
CX3CL1,instance of,nomogram
GZMB,instance of,nomogram
IL4,instance of,nomogram
IL6,instance of,nomogram
PDGFAA,instance of,nomogram
bias corrected,subclass of,AUC
MM,has part,ALL
MM,has part,NHL
ALL,part of,MM
NHL,part of,MM
Autophagy,subclass of,catabolic process
experimental data,part of,In silico
network approaches,part of,systems biology
