head,type,tail
liver,connects with,stomach
liver,connects with,testis
liver,instance of,tissue
livestock behaviour,has part,grazing
livestock feed,subclass of,animal feed
living entities,opposite of,non living things
living environment,part of,social determinants of health
living organisms,has part,cellular energy production
lizard,subclass of,vertebrate
ljubljana,country,Slovenia
llph,instance of,recurrent gene
llps,studied by,LLPS process
llps,subclass of,imaging
llps,subclass of,optical imaging
lmic,has part,stromal vascular fraction
lmo1,instance of,gene
lmo1,different from,lmo3
lmo1,subclass of,transcriptional cofactor
lmo3,different from,lmo1
lmw,subclass of,thiol
ln,drug used for treatment,BI 655064 180mg
ln229,subclass of,cell
lncnb1,subclass of,noncoding RNA
lncrna#61,subclass of,antiviral factor
lncrna#61,instance of,expression
lncrna#61,subclass of,functional lncRNA
lncrna,subclass of,biomarker
lncrna,part of,exosomal
lncrna,subclass of,mirna
lncrna,subclass of,mrna
lncrna,subclass of,protein
lncrna,part of,renal pathogenesis
lnp,part of,mrna
lobatamide A PKS,has part,oxime
lobectomy,part of,thoracic surgery
loc_os04g52830,instance of,gene
loc_os04g52870,instance of,gene
local anesthesia,subclass of,surgery
local control,subclass of,treatment
local folding,subclass of,conformation
local invasion,subclass of,tumour
local setting,part of,intervention
local,subclass of,adverse events
local,subclass of,distribution patterns
localized disease,opposite of,disseminated metastatic disease
locally adaptive,subclass of,plastic
locator®,has part,blue patrice
locator®,has part,green patrice
locator®,has part,novaloc®
locomotion,has part,walk
locomotive,has part,activity
locomotor behavior,has part,jump
locomotor stereotypies,subclass of,abnormal behaviours
locomotor,has part,exploratory
locoregional control,subclass of,biologically effective dose
locoregional control,facet of,locoregional
locus,part of,chromatin
locus,has part,dna
locus,part of,genetic
locus,part of,genetic variation
locus,part of,genome
locus,part of,genomic
locus,has cause,haplotype
locust central complex,has part,neuron
lodging resistance,part of,intercropping system
log,part of,sustainable management
log,different from,unlog
logistic regression analysis,studies,phenotypic traits
logistic regression,use,model optimisation
lom,subject has role,procoagulant
loma,country,peru
lomustine,subject has role,procoagulant
loneliness,subclass of,Social isolation
loneliness,has cause,social isolation
long COVID,has cause,COVID 19
long arm,part of,W chromosome
long bone,part of,skeleton
long chain acyl CoA dehydrogenase,instance of,gene
long intergenic non coding RNA,part of,genome
long lived,subclass of,life span extension
long non coding RNA,subclass of,messenger RNA
long non coding RNA,instance of,research
long non coding maternally expressed gene 3,encodes,long non coding metastasis associated lung adenocarcinoma transcript 1
long noncoding RNA,part of,exosomal
long noncoding RNA,part of,gene expression
long noncoding RNA,subclass of,noncoding RNA
long read sequencing,studies,genome
long read,opposite of,short read
long term evolution,opposite of,micro evolutionary processes
long term exercise,different from,no exercise
long term patient outcomes,subclass of,study
long term potentiation,subclass of,modulate
long term recovery,has cause,development and evolution of stroke
long term recovery,facet of,stroke
long term remission,subclass of,immunomodulatory therapies
long term remyelination response,subclass of,demyelination
long term,has cause,COVID 19
long term,opposite of,short term
long term,subclass of,surgical
long wavelength opsin gene,subclass of,opsin
longevity,facet of,health
longevity,has cause,sarcopenia
longissimus dorsi,instance of,muscle group
longitudinal axis,followed by,rod like
longitudinal study,instance of,design
longitudinal,subclass of,MR imaging
longitudinal,subclass of,experimental designs
longitudinal,subclass of,follow up
longitudinal,subclass of,observational study
longitudinal,subclass of,research
longitudinally,subclass of,Stool samples
longo,notable work,HISB Model
longus,parent taxon,palmaris
losartan,instance of,Pharmacologic treatments
loss of function (LoF) variants in Ankyrin 2 (ANK2),has effect,neurodevelopmental syndrome
loss of function,subclass of,allele frequency
loss of function,subclass of,molecular pathways
loss of function,subclass of,osteosarcoma
loss of more than 80 million years of life,has cause,death
loss of,has effect,Optic vesicle evagination
lovo,instance of,cell line
low  and middle income countries,opposite of,high income countries
low ,opposite of,high risk
low ,different from,middle income countries
low G6PD expression,opposite of,high G6PD expression
low O2 stress dive,uses,hyperbaric chamber
low SDI,opposite of,High SDI
low SDI,opposite of,high SDI
low adaptive trait plasticity,opposite of,adaptive trait plasticity
low affinity sucrose transporter,subclass of,transporter
low back pain,subclass of,fibromyalgia
low back pain,subclass of,neurological disorder
low calorie diet,different from,bariatric surgery
low cell contractility,subclass of,mutual feedback
low certainty,subclass of,evidence
low comorbidity,instance of,hazard ratio
low density (LD) single nucleotide polymorphism (SNP) chip,opposite of,high density (HD) SNP chip
low density SNP chips,use,genomic selection
low density lipoprotein cholesterol,subclass of,lipid profile
low density lipoprotein,subclass of,lipid
low density lipoprotein,subclass of,lipoprotein
low density lipoprotein,has part,triglyceride
low dimensional latent space,studied by,Deep generative model
low dosage,opposite of,high dosage
low dose LPS,different from,high dose LPS
low dose PCD CT,opposite of,high dose EID CT
low dose radiation therapy,facet of,cancer
low dose rates,subclass of,Complex exposure
low earth orbit,said to be the same as,travel beyond low earth orbit
low efficacy,subclass of,drug
low expressing,opposite of,high 
low expression,opposite of,high
low expression,opposite of,high expression
low glucose medium,different from,Low myotubes
low grade glioma,opposite of,High grade glioma
low grade glioma,subclass of,lgg
low income countries,subclass of,globally
low income countries,different from,national income status
low income,subclass of,minority communities
low iron,different from,high iron
low or no substances,opposite of,licit substances
low plasma EBV DNA titre,has effect,pfs
low protein diet,area,0.1
low risk groups,opposite of,high 
low risk,opposite of,high risk
low risk,opposite of,high risk of bias
low shear conditions,subclass of,shear dependent clot microstructure
low stage disease,opposite of,high grade precancerous lesions
low suspicious VUSs,opposite of,high suspicious VUSs
low threshold,subclass of,mechanoreceptor
low valine,has effect,hip fracture
low,subclass of,certainty
low,facet of,copper
low,opposite of,high
low,subclass of,livestock grazing intensity
low,subclass of,mortality risk
low,different from,overweight
lower bound,opposite of,upper bound
lower doses,opposite of,highest concentration
lower elevations,opposite of,higher elevations
lower extremity maximal muscle strength,instance of,pwms
lower in cases,opposite of,control
lower jaw,has part,mandibular arches
lower left ventricular ejection fraction,subclass of,coronary artery disease
lower respiratory tract,opposite of,upper respiratory tract
lower self efficacy,subclass of,self efficacy
lower,followed by,Middle Jurassic
lower,subclass of,symmetry space
lower,opposite of,upper bounds
lower,opposite of,upper occurrence limits
lowercase,subclass of,all cause mortality
lowland,instance of,land use
lp,has cause,adverse events
lpcat1,subject has role,Migration and invasion assay
lpcat1,medical condition treated,gastric cancer
lpo,part of,purine metabolic pathways
lpp,subclass of,hair diseases
lps,has cause,Coronavirus disease 2019
lps,has effect,ards
lps,product or material produced,lipid droplets
lps,has effect,sepsis
lr,number of participants,91
lrp,subject has role,kinase inhibitor
lrrc8a,subject has role,VRAC blocker
lrrc8a,subject has role,astrocytic
lrrc8a,medical condition treated,cerebral infarction
lrrk2,part of,TDP 43
lrrk2,has part,g2019s
lrrk2,instance of,mutation
lrrk2,has effect,proteinopathy
lsm710,manufacturer,Zeiss
lta4h,instance of,proteins
ltbi,has effect,karyorrhectic cells
ltbi,has cause,mtb
luad,has cause,cenpo
luad,has cause,egfr
luad,different from,lusc
luad,drug used for treatment,tki
luciferase reporter,subclass of,Western blot
luciferase,subclass of,bioluminescence
lumbar puncture,subclass of,blood test
lumbar spinal cord,has part,dorsal horn
lumbar,instance of,region
lumen,connects with,cilium
lumen,part of,er
lumpectomy,subclass of,surgery
lung adenocarcinoma,drug used for treatment,isg15
lung adenocarcinoma,subclass of,lung cancer
lung adenocarcinoma,has cause,smoking
lung biology,studies,lung parenchyma
lung biopsy,medical condition treated,Lung nodule
lung cancer,drug used for treatment,Immunocheckpoint inhibitor
lung cancer,has cause,Tobacco consumption
lung cancer,drug used for treatment,aurka
lung cancer,drug used for treatment,carotenoid
lung cancer,instance of,clinical outcomes
lung cancer,studied by,clinicopathological
lung cancer,has cause,diethylnitrosamine
lung cancer,drug used for treatment,kfc
lung cancer,has cause,mutation
lung cancer,has cause,never smokers
lung cancer,has cause,occupational carcinogen
lung cancer,drug used for treatment,treatment is rarely curative
lung disease,studied by,lung research
lung function,part of,non asthmatic
lung health,has part,extracellular matrix
lung inflammatory injury,instance of,model
lung inflammatory injury,has cause,rsv
lung nodules,subclass of,malignancy
lung on a chip,subclass of,engineered systems
lung physiology,has part,airway remodeling
lung research,studies,lung disease
lung squamous cell carcinoma,subclass of,cancer
lung squamous cell carcinoma,has effect,lymph node metastasis
lung transplant,subclass of,heart transplantation
lung tumors,drug used for treatment,pulmonary oligoprogression
lung,has part,alveolar space
lung,has part,alveolus
lung,connects with,bone marrow
lung,part of,central nervous system
lung,subclass of,internal organs
lung,has part,large airway
lung,connects with,liver
lung,has part,mesenchyme
lung,subclass of,mucosal tissues
lung,connects with,nasal
lung,has part,parenchyma
lung,part of,respiratory tract
lupus,has cause,follicular helper T
lusc,different from,luad
lut,instance of,phenolic compound
luteal phase,has part,p4
luteibacteranthropi,parent taxon,luteibacter
lutein,subclass of,cyst
luteolysis,has effect,fertility
lv,different from,lv.org
lv.ids,part of,hscgt
lv.org,different from,lv
lv.org,different from,lv.org
lwc,subclass of,metabolomic
lwc1,instance of,significant association
lwc35,instance of,significant association
lwc56,instance of,significant association
lycopene,instance of,flavonoid
lycopersene,subject has role,anti fouling compound
lycopersene,subject has role,antifoul
lymph node metastasis,facet of,colorectal cancer
lymph node metastasis,has cause,lung squamous cell carcinoma
lymph node metastasis,different from,lymphatic metastasis
lymph node metastasis,subclass of,metastasis
lymph node metastasis,subclass of,tumor node metastasis
lymph node,subclass of,imaging
lymph node,part of,primary tumor cells
lymph node,connects with,tonsil
lymph nodes,part of,lymphatic disorders
lymph nodes,part of,tumor
lymph,different from,lymphoid organs
lymphatic disorders,instance of,disease subgroups
lymphatic disorders,has part,lymph nodes
lymphatic filariasis,subclass of,onchocerciasis
lymphatic malignancies,has effect,lymphoma
lymphatic metastasis,different from,lymph node metastasis
lymphatic microvessel,subclass of,cell
lymphatic system,part of,immune response
lymphatic vessels,connects with,blood
lymphatic,has part,lipid
lymphatic,part of,tissue
lymphoblastoid cells,subclass of,mammary epithelial cells
lymphocyte infiltration,has cause,isg15
lymphocyte,part of,cell free system
lymphocyte,subclass of,epithelial cells
lymphocyte,has part,macrophage
lymphocyte,part of,tumor
lymphoid differentiation,part of,immune responses
lymphoid neoplasm diffuse large B cell lymphoma,subclass of,lymphoid neoplasm
lymphoid organs,different from,lymph
lymphoid,subclass of,tissue
lymphoma,studied by,histological classification
lymphoma,subclass of,lymphatic malignancies
lymphovascular invasion,has effect,lymph node metastasis
lyophilization,subclass of,Physical mixing
lys263,subclass of,drg1
lysc,instance of,expression
lysine 63,part of,mavs
lysine acetylation,instance of,protein
lysine methyltransferase,has part,SET domain
lysine,subclass of,amino acid
lysine,subclass of,protein
lysine,subclass of,residue
lysophosphatidylcholine,subclass of,lysophosphatidylethanolamine
lysosomal degradation,has effect,autophagy
lysosomal,part of,cell
lysosomal,part of,cellular
lysosomal,connects with,endoplasmic reticulum
lysosomal,part of,endosomal
lysosomal,part of,intralysosomal
lysosomal,has part,β glucocerebrosidase
lysosome dependent cell death,subclass of,cell death
lysosome,part of,cellular
lysosome,part of,endoplasmic reticulum
lysosome,follows,endosome
lysosome,part of,er
lysosome,part of,plasma membrane
lytic,has cause,gammaherpesvirus infection
lytic,instance of,population shift
m,different from,M detrainig
m,instance of,stage
m/n,subclass of,red blood cell
m0,subclass of,TN
m0,subclass of,mesenchymal
m1,subclass of,TN
m1,subclass of,macrophage
m1,subclass of,microglium
m19,subject has role,mutagen
m1tn,subclass of,mesenchymal
m1tp,subclass of,mesenchymal
m2,subclass of,microglium
m26,subject has role,mutagen
m28,subject has role,mutagen
m2a,subclass of,macrophage
m6,has part,catboost
m6a,subclass of,lncrna
m6am,part of,transcriptome
mAb resistant virus variants,has cause,SARS CoV 2
mRNA 1273,instance of,antibody
mRNA LNP mediated,subclass of,anticancer therapy
mRNA retention,subclass of,RNA based regulatory pathways
mRNA vaccine,facet of,COVID 19 pandemic
mRNA vaccine,discoverer or inventor,Katalin Karikó
mRNA vaccine,subclass of,booster
mRNA vaccine,has part,mrna
ma,different from,rmse
mac,facet of,environmental risk assessment
macaronesia,has part,Cabo Verde
macaronesia,has part,Canary Islands
macaronesia,has part,azore
macaronesia,instance of,ecologically relevant region
macaronesia,has part,madeira
macf1,instance of,gene
machine learning,subclass of,Technological advancements
machine learning,subclass of,algorithm
machine learning,part of,artificial intelligence
machine learning,studies,big data
machine learning,part of,computational
machine learning,subclass of,computational algorithm
machine learning,subclass of,computational analyses
machine learning,part of,computational approaches
machine learning,part of,experimental techniques
machine learning,instance of,knowledge
machine learning,studies,model
machine learning,part of,neurocognitive
machine learning,use,predict phenotypes
machine learning,use,predictive
machine,has part,actuator
machine,has part,deep learning
machine,studied by,engineering
macroalga,subclass of,bacterium
macrocycle,subclass of,chemical space
macrocyclic drugs,subclass of,synthetic macrocycles
macrocyclic library,has part,linker
macrocyclic,subclass of,arene
macrocyclization,subclass of,reaction
macroevolution,subclass of,evolution
macroevolutionary,part of,evolution
macroevolutionary,studies,speciation
macroinvertebrate,parent taxon,Aquatic insects
macroinvertebrate,has part,stream
macroinvertebrate,instance of,taxa
macroinvertebrate,instance of,taxonomic
macrolide,subject has role,multidrug
macromolecular machines,part of,genome
macromolecular metabolic processes,has part,oxidative phosphorylation
macromolecule,subclass of,molecule
macrophage migration inhibitory factor,subclass of,soluble factor signaling
macrophage polarization settings,part of,macrophage
macrophage polarization,has effect,Inflammatory process
macrophage,part of,Adipose tissue
macrophage,has part,CD68+ /CD163+ /IBA1 
macrophage,has part,IL 6
macrophage,subclass of,Immune cell
macrophage,subclass of,T cell
macrophage,part of,adipose tissue
macrophage,part of,bone marrow
macrophage,has part,brain microglia
macrophage,subclass of,cell
macrophage,subclass of,cellular
macrophage,subclass of,clone
macrophage,subclass of,cytokine
macrophage,subclass of,effector cell
macrophage,subclass of,enterocyte
macrophage,has part,fibroblast
macrophage,subclass of,granulocyte
macrophage,studied by,histopathological
macrophage,part of,immune
macrophage,has effect,immune activation
macrophage,has effect,immune activation markers
macrophage,subclass of,immune cell
macrophage,subclass of,immune cells
macrophage,part of,immune infiltration
macrophage,part of,immune modulation
macrophage,instance of,immune profiling
macrophage,part of,immune response
macrophage,has effect,inflammatory
macrophage,subclass of,innate immune cell
macrophage,subclass of,innate immune cells
macrophage,part of,innate immune system
macrophage,subclass of,leukocyte
macrophage,instance of,lineage cell
macrophage,product or material produced,lipid associated lipid
macrophage,has part,liver macrophages
macrophage,subclass of,lymphocyte
macrophage,has part,m2
macrophage,different from,melanocyte
macrophage,subclass of,membrane bound substructure
macrophage,subclass of,mesenchymal
macrophage,subclass of,mesenchymal stem cells
macrophage,has part,microglium
macrophage,followed by,monocyte
macrophage,part of,msc
macrophage,subclass of,myeloid cell
macrophage,subclass of,myeloid cells
macrophage,followed by,neutrophil
macrophage,has effect,phagocytosis
macrophage,part of,phagosome
macrophage,has part,plasma membrane
macrophage,part of,serum
macrophage,part of,tissue
macrophyte,subclass of,sediment
macropinocytosis,subclass of,endocytosis
macroscopic model,studies,system
macroscopic,has part,single molecule
macroscopic,subclass of,surgical margins
macular edema,subclass of,subretinal fluid
macular hole,subclass of,retinal detachment
mad2l1,instance of,gene
madeira,part of,macaronesia
madimak,instance of,kombucha
mafa,instance of,protein
maftool,subclass of,Somatic mutation
mag,part of,gc
mag,part of,genome
mag,different from,nag
mag,instance of,taxonomic
magazine,subclass of,newspaper
maghrebi,instance of,ancestry
magic angle spinning,subclass of,nuclear magnetic resonance spectroscopy
magic bullet,discoverer or inventor,Paul Ehrlich
magnetic cell sorting,instance of,biomedical applications
magnetic field,part of,Earth
magnetic field,use,perception
magnetic material,part of,MH
magnetic resonance imaging,subclass of,radiographic
magnetic resonance imaging,medical condition treated,spinal cord compression
magnetic selection,facet of,transduced cell populations
magnetic sense,part of,insect
magnetite,subclass of,cr
magnitude,facet of,rates of change
magpen,uses,induced electric field
mainland,shares border with,Island
maintenance process,opposite of,initiation process
maize chlorotic mottle virus,has effect,Maize lethal necrosis
maize stalk litter,instance of,common bean root litter
maize,use,intercropping
maize,subclass of,staple crop
major complications,has cause,control group
major depressive disorder,has cause,Overactive microglia
major depressive disorder,instance of,prevalence
major groove,opposite of,minor groove
major histocompatibility class I,subclass of,neoantigen
major histocompatibility complex,has part,antigen
major seasons,has part,asl
malacosporea,parent taxon,myxozoa
malacosporea,subclass of,proteins
maladaptive,opposite of,adaptive
malaria biology,facet of,eradicate the notorious disease
malaria biology,studies,malaria parasites
malaria control,facet of,malaria
malaria endemic regions,facet of,malaria
malaria incidence,facet of,malaria
malaria parasite,has effect,malaria
malaria parasites,studied by,malaria biology
malaria pharmacology,facet of,malaria
malaria,has part,1000 person years
malaria,has cause,Anopheles gambiae
malaria,different from,COVID 19 disease
malaria,has cause,Plasmodium falciparum
malaria,drug used for treatment,adherences to control interventions
malaria,has effect,anemia
malaria,drug used for treatment,artemisinin
malaria,country,cameroon
malaria,drug used for treatment,chemoprophylaxis
malaria,country,gabon
malaria,subclass of,infectious diseases
malaria,drug used for treatment,isoliensinine
malaria,studied by,malaria control
malaria,has cause,malaria parasite
malaria,studied by,management
malaria,drug used for treatment,oxythiamine
malaria,subclass of,parasitaemia
malaria,has cause,parasite
malaria,subclass of,parasitosis
malaria,has cause,plasmodium
malaria,facet of,public health
malaria,drug used for treatment,self medicating
malaria,has effect,severity
malaria,has cause,thrombocytopenia
malaria,country,uganda
male fertility,opposite of,female fertility
male fertility,has cause,spermatogenesis
male flower,studied by,phytopathology
male infertility,facet of,male reproduction
male patients,opposite of,female patients
male,population,55
male,opposite of,female
male,opposite of,queen
male,has effect,reproductive success
male,opposite of,sd
malic acid,instance of,phenotypic
malignancy,has effect,cancer progression
malignant BC,opposite of,benign
malignant behavior,subclass of,phenotype
malignant cells,part of,tumor microenvironment
malignant disease,subclass of,cancer
malignant glioma,subclass of,glioma
malignant neoplasm,drug used for treatment,treatment
malignant potential,subclass of,tumor
malignant tumor,subclass of,cancer
malignant tumor,studied by,cancer therapy
malignant,opposite of,benign
malignant,subclass of,breast tumor
malignant,has effect,phenotype
malignant,subclass of,therapy resistant cells
mallorca,located in or next to body of water,Mediterranean Sea
mallorca,country,Spain
malnutrition,has effect,anemia
malocclusion,subclass of,brain volume
malondialdehyde,subclass of,C reactive protein
malondialdehyde,subject has role,antioxidant
malondialdehyde,has part,hydrogen peroxide
malondialdehyde,subject has role,oxidative status markers
maltophilia,parent taxon,stenotrophomona
malvalic acid,instance of,chemical compound
mammal,different from,herbivore
mammal,opposite of,nonhuman
mammal,instance of,phylum
mammal,has effect,poisoning
mammal,opposite of,reptile
mammal,instance of,taxa
mammalia,subclass of,developmental programmes
mammary gland,studied by,histomorphological
man,opposite of,Women
man,opposite of,woman
manage,subclass of,control
management strategies,facet of,agroecosystem
management strategies,subclass of,potential
management strategy,facet of,Civil engineering
management,facet of,conservation
management,has part,diagnosis
management,subclass of,environmental monitoring
management,has part,family
management,facet of,forest
management,facet of,land use
management,facet of,lesion
management,studies,malaria
management,studied by,organization studies
management,studied by,organization theory
management,facet of,patient
management,has part,prevention of snakebite
management,facet of,protected area
managing medical appointments,facet of,healthcare professionals
manchester,country,UK
mandible,studied by,histology
mandible,connects with,mandibular dental arch
mandible,connects with,maxilla
mandibular arches,part of,lower jaw
mandibular arches,part of,middle ear
mandibular dental arch,connects with,mandible
mandibular plane,has part,TS ALD
mandibular,connects with,maxillo
mandibular,has part,posterior region
manea,instance of,gene
maneal,instance of,gene
manganese dioxide 56,instance of,radioisotope
manganese dioxide nanosheets,has part,mno
manganese,instance of,micronutrient
mango,subclass of,allergenic
mangrove,subclass of,forest
mangrove,subclass of,fungus
manhattan,located in the administrative territorial entity,New York City
manifestation,part of,clinical attributes
manual assessment,opposite of,automated ecological analysis
manure,subclass of,fertilizer
manure,has part,p(
manuscript,has cause,detect
maob,part of,ERS related risk model
map1lc3a,subclass of,autophagy markers
mapk,part of,Axl signaling
mapk,part of,ERK pathway
mapk,subclass of,Mitogen activated protein kinase
mapk,instance of,channel
mapk,has part,erk1/2
mapk,has part,p38
mapk,subclass of,protein
mapk,instance of,signaling
mapk,instance of,signaling pathways
mapk9,subclass of,MELK kinase
mapt,part of,chromosome 17
maputo,country,mozambique
maranhão,country,Brazil
maranhão,capital,São Luís
marcescen,parent taxon,rubidaea
marcescen,parent taxon,serratia
marg,instance of,morb
marg,subclass of,surgical margins
margaroleic acid,instance of,aldehyde
marginal zone lymphoma,subclass of,follicular
marina,has part,cyanobacterium Acaryochloris
marine biodiversity,subclass of,ecosystem
marine biological invasions,location,macaronesia
marine diversities,facet of,marine biodiversity
marine ecosystem,has part,ocean
marine research,studies,ocean
marine tourism,subclass of,fishing
marine worm,has part,jaw
marine,subclass of,ecosystem
marine,opposite of,freshwater
marine,subclass of,invertebrate
marine,subclass of,organism
marinimicrobia,instance of,microorganism
marjoram,instance of,essential oil
marjoram,instance of,flavonoid
marjoram,different from,oregano
marker independent EV detection,uses,Curvature sensing peptide
marker protein,subclass of,peptide
marker,has effect,Alzheimer's disease
marker,subclass of,gene expression
marker,part of,mri
marketing,has part,advertising
marketing,has part,publicité
marketing,has part,publicité alimentaire
martinique,shares border with,French Guiana
mask,facet of,regimen
mask,subclass of,wearable devices
mass extinction,has cause,volcanism
mass spectrometry,subclass of,chromatography
mass spectrometry,subclass of,imaging
mass spectrometry,use,proteomic
mass spectrometry,use,purification
mass,subclass of,energy conversion efficiency
mass,part of,tissue
mast cell degranulation,has effect,anaphylaxis
mast cell dependent airway hyperreactivity,has cause,antigen induced
mast cell precursors,part of,mast cell
mast cell,subclass of,T cell
mast cell,part of,cerebral cortices
mast cell,part of,lung
mast cell,has part,mast cell precursors
mast cell,subclass of,monocyte
mast cell,medical condition treated,pathological condition
mast forecasting,uses,mast
mastectomy,subclass of,surgery
master cyclists,opposite of,young adults
master regulator,facet of,prostate cancer
mastication,subclass of,decouple
masting breakdown,has effect,viable seed production
masting,subclass of,Interannual variability of seed production
masting,subclass of,airborne pollen
masting,product or material produced,seed
masting,subclass of,seed crops
mastitis,has cause,cancer
mate competition,has part,food
mate,has cause,sex
material leaching,has effect,leaching time
material level mechanical properties,has effect,fracture
material,use,bone grafting
materiales adhesivos,different from,tipos de retenedores removibles
materials science,studies,polymeric
materials to be used,subclass of,graft
maternal <subj>fetal,part of,maternal
maternal age,facet of,maternal meiosis
maternal and fetal complications,subclass of,adverse cardiovascular events
maternal blood,subclass of,tissue
maternal fitness,facet of,population
maternal imprinting,facet of,neonatal islet
maternal lung metastasis,subclass of,Maternal outcome
maternal origin,has effect,recurrent trisomy 18
maternal stereotypies,instance of,neuro epigenomic
maternal to zygote transition,subclass of,transcriptional profile
maternal,has part,fetal
maternal,has effect,fetal mortality
maternal,has part,gestation
maternal,opposite of,paternal
maternal,has part,pregnant
maternal,subclass of,tissue
mathematical framework,studies,landscape
mathematical model,subclass of,visualization
mathematical modeling,subclass of,computational modeling
mathematical models,studies,cell migration
mathematical,has part,concept
mathematical,has part,mechanistic
mathematics,has part,graph theory
mating,part of,sexual selection
matlab,use,algorithm
matricellular,has part,microenvironment
matrine,instance of,ACI value
matrine,subject has role,anti oxidant
matrix Gla protein,subclass of,vitamin K dependent protein
matrix arm domain,part of,complex I
matrix assisted laser desorption ionization,subclass of,desorption electrospray ionization
matrix choice,facet of,matrix
matrix degradation,has cause,invadopodia
matrix effect,opposite of,extraction recovery
matrix metalloproteases,product or material produced,collagen
matrix protein,has part,nucleotide
matrix,studied by,fluorescence spectroscopy
maturation,has effect,cm
maturation,part of,mitoribosome
maturation,followed by,refinement
mature mRNA,opposite of,precursor mRNA
mature,different from,reproduce
maturity,different from,head
mavs,has part,irf3
mavs,has part,lysine 63
maxilla,connects with,mandible
maxilla,connects with,posterior tooth
maxilla,connects with,premaxillary teeth
maxillary canine eruption,subclass of,Altered dental eruption
maxillary canines,connects with,premolar
maxillary lateral incisor agenesis,drug used for treatment,treatment
maxillary,connects with,incisor
maxillary,subclass of,molar
maxillo,connects with,mandibular
maximal exercise,subclass of,indoor exercise
maximum entropy principle,part of,Bayesian mechanics
maximum response,has part,pd2
maya,location of formation,mesoamerica
mayor riesgo de fracaso del retenedor,subclass of,salud periodontal
mb,has part,proton
mbc,drug used for treatment,Microtubule targeting agent
mbc,different from,mic
mbd,has cause,GW
mbdca,different from,mbdca
mbdca,subclass of,radionuclide
mbdcas,subclass of,embedded tools
mbnl2,part of,Protein kinase B
mbrole,inception,2011
mbrole,developer,csic
mbrole,facet of,metabolomic
mcao,drug used for treatment,interstitial photodynamic therapy
mcc,subclass of,chronic disease
mcel,has effect,inflammation
mcf10a,instance of,cell line
mcf10a,instance of,cell lines
mcf10a,subclass of,sevs
mcf7,instance of,cell line
mcf7,instance of,cell lines
mcf7,subclass of,macrophage
mcherry,part of,GFP lacI
mcm10,part of,mcm6
mcm6,has part,mcm10
mcmv,instance of,library
mcode,instance of,protein protein interaction network
mcp,part of,Mixed bone marrow chimera
mcpyv,has effect,MCC
mcpyv,has effect,emt
mcpyv,subclass of,mcc
mcs,has part,KIT signaling
mcs,part of,rhex
mda,has part,MB 231 cells
mda,different from,T AOC
mda,subclass of,cytokine
mda,has part,gsh
mda,subclass of,monoamine
mdm2,instance of,complex
mdm2,encodes,p53
mdm2,instance of,protein
mdm2,subclass of,ubiquitin ligase
mdma1,instance of,gene
mdmyb10,subclass of,transcription factor
mdmyb21,instance of,gene
mdmyb21,instance of,transgenic
mdnac1,subclass of,transcription factor
mdr,has cause,antitumor drug
mdr,drug used for treatment,penicillin
mds,drug used for treatment,MDS treatments
mds,subclass of,bmsc
mds,subclass of,malignancy
mds,drug used for treatment,treatment
mdss,drug used for treatment,Allogenic stem cell transplantation
meam1,different from,med
mean age,instance of,median
mean age,different from,sd
mean endpoint scores,facet of,heterogeneity
mean field approaches,subclass of,ecm
mean validation area under the curve,facet of,receiver operating characteristic
mean,subclass of,confidence interval
mean,different from,standard deviation
measurable residual disease,subclass of,pre transplant
measurable,subclass of,Biological process
measured externally,different from,temperature
measurement uncertainty,facet of,DNA extraction
measurement,subclass of,diagnostic
measurement,uses,sample
mechanic,part of,biology
mechanic,studies,ecm
mechanic,studies,fibrous ECM
mechanical allodynia,drug used for treatment,rosuvastatin
mechanical forces,subclass of,chemical signals
mechanical heart valve,different from,biologic heart valve
mechanical properties,part of,myocyte
mechanical resilience,subclass of,crosstalk
mechanical resilience,has part,keratin
mechanical stress,studied by,structural dynamics
mechanical stresses,subclass of,deleterious
mechanical theories,studies,sensory states
mechanical valve thrombosis,subclass of,valve thrombosis
mechanical valve,medical condition treated,thrombosis
mechanical ventilation,part of,intensive care unit
mechanical ventilation,subclass of,respiratory failure
mechanical,part of,ECM mechanics
mechanically ventilated intensive care unit,has part,bronchoalveolar lavage fluid
mechanism of action,part of,gene
mechanism of this phenomenon,studied by,elucidate
mechanism,subclass of,factor
mechanism,different from,mechanism
mechanism,different from,underlying mechanism
mechanisms by which postreplication gaps are generated and repaired,facet of,postreplication gap
mechanisms evolved to cope with As stress,studied by,physio biochemical
mechanisms of action,facet of,compound
mechanisms of action,studied by,elucidate
mechanisms of action,facet of,parasite
mechanisms of action,facet of,therapeutic
mechanistic processes,subclass of,evolutionary processes
mechanistic studies,studies,functional role
mechanistic,studies,biological systems
mechanistic,part of,biology
mechanistic,studies,datum
mechanistic,part of,mathematical
mechanistic,subclass of,mystery
mechanistic,studies,toxicity
mechanobiology,studies,morphogenesis
mechanoreceptor,has effect,antibody
mechanosensitive channels,subclass of,ion channel
mechanosensitive ion channel,part of,chondrocyte
mechanosensory lateral line,subclass of,sensory system
mechanosensory stimulation,subclass of,neural activity
mecom,instance of,endothelial cell lineage regulator
med,different from,meam1
media drops,use,in vitro maturation
media grown algae,subclass of,alga
medial epicondyle,part of,humerus
median age,said to be the same as,70 years
median age,subclass of,age
median age,instance of,body mass index
median age,instance of,iqr
