head, type, tail
proliferation,has effect,viability
marker,subclass of,gene expression
cell separation,subclass of,regeneration
adulteration,subclass of,mislabeling
gas chromatography mass spectrometry,uses,headspace solid phase microextraction
Wuyoudao 4,instance of,cultivar
unsupervised clustering,part of,Multivariate analysis
goodness of fit,different from,goodness of prediction
goodness of prediction,different from,goodness of fit
Random forest analysis,studies,volatile compound
2-acetyl-1-pyrroline,instance of,biomarker
Wuchang rice,subclass of,rice
hybrid incompatibility,has effect,speciation
Nup96,instance of,coding sequence
Nup160,instance of,coding sequence
promoter,part of,transcriptional regulatory elements
transcriptional regulatory elements,has part,promoter
Nup54,instance of,promoters
Nup58,instance of,promoters
Nup62,instance of,promoters
Nup,subclass of,promoter
nucleo,part of,cytoplasmic
cytoplasmic,has part,nucleo
organic matter,studied by,biological
biological,studies,organic matter
pig manure,subclass of,crop residues
soil,has part,microbial communities
microbial communities,part of,soil
control,subclass of,treatment
gram-positive bacteria,subclass of,bacteria
gram-negative bacteria,subclass of,bacteria
gram-negative bacteria,opposite of,gram-positive bacteria
nitrate nitrogen,has part,nitrogen
ammonium nitrogen,has part,nitrogen
C,instance of,nutrient
N,instance of,nutrient
P,instance of,nutrient
straw,part of,soil ecosystem
pig manure,part of,soil ecosystem
COVID-19,has effect,pandemic
therapies,part of,clinical management
viral proteins,has part,peptides
animal model,subclass of,organism
Macrophage,followed by,neutrophil
swim bladder,part of,larva
larva,has part,swim bladder
toxicity,subclass of,assays
oxidative stress,subclass of,assays
ACE2 receptor,subclass of,receptors
MHC,subclass of,receptors
TCR,subclass of,receptors
TNF-α,subclass of,NO
macrophage,studied by,histopathological
histopathological,studies,macrophage
COVID-19,has cause,host immune response
zebrafish,instance of,animal model
apical dendrite,part of,neuron
neuron,has part,apical dendrite
neuron,has part,cell bodies
cell bodies,part of,neuron
computational neuroscience,studies,learning
learning,studied by,computational neuroscience
apical,subclass of,dendrite
Allen Institute,subsidiary,Mindscope
Mindscope,parent organization,Allen Institute
dendrite,part of,cell bodies
apical,different from,somatic processing
somatic processing,different from,apical
Amyloid plaques,has cause,Alzheimer's disease
Alzheimer's disease,has effect,Amyloid plaques
brain tissue,has part,amyloid plaques
Anthozoa,parent taxon,Cnidaria
Cubozoa,parent taxon,Cnidaria
Hydrozoa,parent taxon,Cnidaria
Polypodiozoa,parent taxon,Cnidaria
Scyphozoa,parent taxon,Cnidaria
Staurozoa,parent taxon,Cnidaria
Myxozoa,parent taxon,Cnidaria
Myxosporea,parent taxon,Myxozoa
Malacosporea,parent taxon,Myxozoa
APAF-1,instance of,protein domain
Polypodiozoa,parent taxon,Polypodium hydriforme
Myxosporea,parent taxon,Malacosporea
Cnidaria,subclass of,proteins
Polypodium,subclass of,proteins
Malacosporea,subclass of,proteins
Myxosporea,subclass of,proteins
Myxozoa,parent taxon,Myxosporea
Bacterial,subclass of,symbiosis
symbiosis,has part,Bacterial
genetic principles,has effect,symbioses
symbioses,has cause,genetic principles
nutritional strategies,subclass of,symbioses
heterotrophic,opposite of,chemoautotrophic
chemoautotrophic,opposite of,heterotrophic
amino acid,has part,nitrogen
fatty acid,subclass of,carbohydrates
matrix metalloproteases,product or material produced,collagen
symbiosis,has part,host
ribosome,use,bacterial translation
profiling,subclass of,mass spectrometry
tafi,subclass of,protein fibers
functional amyloid fibers,subclass of,protein
curli,subclass of,protofibril
curli,subclass of,building blocks
physico-chemical robustness,studied by,engineering
engineering,studies,physico-chemical robustness
ferrichrome,subclass of,Siderophore
non-ribosomal peptide synthetase,subclass of,enzymes
ferrichrome,instance of,ferricrocin
ferrichrome,subclass of,NRPS
progenitor zone,part of,germ stem cell
II,instance of,chromosome
V,instance of,chromosome
PZ,part of,isolate
PZ,part of,ancestral sequence
Delta,subclass of,promoter
quantitative,subclass of,genetic architecture
phase response curve,facet of,circadian phase
circadian clock,subclass of,synchronization
tissue,has part,stimuli
singularity response,facet of,cellular clock
SR,use,quantified response
phase,follows,amplitude
amplitude,followed by,phase
tissue-specific entrainment,part of,tissue slice cultures
entrainment,subclass of,mechanisms
anti-PfCSP antibody,has cause,PfCSP
PfCSP,has effect,anti-PfCSP antibody
antibody,has effect,antibody
antibody,has cause,antibody
L9 light chain,part of,Homotypic interface
Homotypic interface,has part,L9 light chain
L9,subclass of,NPNV
organismal health,has part,Proteostasis
dynamic regulation,subclass of,mechanisms
H2BK17pr,part of,H2B
H2BK17,instance of,protein
H2BK17pr,instance of,gene
proteostasis,has part,lysine propionylation
BRCA1,has effect,hereditary breast and ovarian cancer risk
BRCA2,has effect,hereditary breast and ovarian cancer risk
hereditary breast and ovarian cancer risk,has cause,BRCA1
hereditary breast and ovarian cancer risk,has cause,BRCA2
DSBR,instance of,gene
BRCA1 complex,has part,ABRAXAS1
ABRAXAS1,part of,BRCA1 complex
lymphoblastoid cells,subclass of,mammary epithelial cells
ABRAXAS1,part of,BRCA1
BRCA1,has part,ABRAXAS1
reporter assay,facet of,homologous recombination
DSBR-pathways,subclass of,mutagen
BRCA1-A complex,has part,RAP80
RAP80,part of,BRCA1-A complex
single-strand annealing,subclass of,channeled
SSA,subclass of,DSBR
non-homologous end-joining,subclass of,DSBR
BRCA1,instance of,gene
Infertility,has cause,15% of couples worldwide
15% of couples worldwide,has effect,Infertility
Recurrent implantation failure,facet of,in vitro fertilization and embryo transfer
polycomb repressive complex 2,instance of,gene network
PRC2,instance of,gene
uterine epithelium,has part,stroma
stroma,part of,uterine epithelium
epithelial,subclass of,differentiation
stromal,subclass of,differentiation
endometrium,connects with,stroma
stroma,connects with,endometrium
social sensitivity,subclass of,affective
associative learning,has part,sensitivity
instrumental learning,subclass of,learning
Pavlovian learning,opposite of,instrumental learning
instrumental learning,opposite of,Pavlovian learning
education,facet of,mental health
phage,subclass of,bacteriophage
hosts,has part,phage
inflammatory,subclass of,immune responses
antiviral,subclass of,immune responses
host cells,part of,eukaryotic
proinflammatory,subclass of,cytokine
phage-immune interactions,has cause,phage
phage,has effect,phage-immune interactions
human,has part,host
host,part of,human
necrotizing pancreatitis,subclass of,pancreatitis
minimally invasive,opposite of,endoscopic
endoscopic,opposite of,minimally invasive
plastic,subclass of,stent
metallic,subclass of,stent
endoscopic drainage,subclass of,necrosectomy
minimally invasive surgery,subclass of,surgical
endoscopic,part of,surgical
surgical,has part,endoscopic
Single-cell sequencing,subclass of,species agnostic
biological replicates,subclass of,artifactual
sc-seq,subclass of,library
demultiplexing,subclass of,computational separation
non-isogenic,subclass of,model organism
genotype,part of,species
genotype,has effect,non-isogenic species
non-isogenic species,has cause,genotype
non-isogenic,subclass of,model organisms
sc-seq,part of,genomic
mutation,has cause,genomic instability
genomic instability,has effect,mutation
mutant stem cell,subclass of,Mechanisms to monitor and eliminate these mutant stem cells
Connexin37,subject has role,cell cycle modulator
G1 cell cycle,part of,endothelial cells
p27,subject has role,cyclin-dependent kinase inhibitor
Fucci cell cycle reporter,has part,regulatory domain
tail domain,part of,cytoplasm
cytoplasmic tail domain,part of,Cx37
Cx37,has part,cytoplasmic tail domain
Foxo3a,part of,pERK
Foxo3a,instance of,gene
carbon cycling,facet of,carbon
biotic,part of,ecosystem
ecosystem,has parts of the class,biotic
Ny-Ålesund,located in the administrative territorial entity,Svalbard
organic matter,part of,biota
food web,part of,trophic levels
trophic levels,has part,food web
green food web,has part,green algae
green food web,has part,gatherer organisms
green algae,part of,green food web
gatherer organisms,part of,green food web
soil communities,part of,ecosystem
ecosystem,has part,soil communities
genomics,part of,biology
post-genomics,studies,genomes
genomes,studied by,post-genomics
complex phenotypes,has cause,genomic information
chromosome,has part,centromere
centromere,part of,chromosome
genome organization,facet of,nuclear organization
Obesity,subclass of,chronic disease
body mass index,facet of,weight stigma
racial,subclass of,ethnic minorities
obesity,instance of,disease
significant,subclass of,outcomes
disability,subclass of,health outcomes
premature mortality,subclass of,health outcomes
obesity epidemic,has cause,metabolic diseases
metabolic diseases,has effect,obesity epidemic
leptogenic,opposite of,obesogenic
obesogenic,opposite of,leptogenic
Binge Eating Disorder,subclass of,eating disorder
binge eating,subclass of,eating disorder
metabolic syndrome,has cause,obesity
time-restricted eating,instance of,dietary approach
caloric restriction,has effect,weight loss
phenotypic,studies,compounds
compounds,studied by,phenotypic
asexual blood stage,part of,Plasmodium lifecycle
malaria pharmacology,facet of,malaria
POLR3-HLD,subclass of,leukodystrophy
craniofacial abnormality,subclass of,craniofacial abnormalities
philtrum,part of,midface
POLR3-HLD,subclass of,craniofacial abnormalities
POLR3-HLD,subclass of,biallelic variants
Lp-80,has part,Lp-20
TM,subclass of,velocity
PM,subclass of,velocity
PMF,facet of,sperm viability
SOD,subclass of,MDA
GPx levels,different from,CAT levels
CAT levels,different from,GPx levels
bull semen,has part,L-proline
bull semen,has part,fulvic acid
neurological disorders,studied by,Neural tissue engineering
axonal growth,subclass of,cell differentiation
neurotrophic factor,subclass of,neural growth-promoting agent
electrospinning,subclass of,3D bioprinting
regeneration,subclass of,repair
collagen,instance of,biomaterial
collagen,medical condition treated,NTE
NTE,drug used for treatment,collagen
None=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-Syringic acid,subject has role,antioxidant
neuroprotective,subclass of,anti-angiogenic
testis,connects with,kidney
kidney,connects with,testis
MCEL,has effect,inflammation
liver,connects with,testis
testis,connects with,liver
JAK1,encodes,STAT1
JAK1,encodes,SOCS1
STAT1,encodes,JAK1
SOCS1,encodes,JAK1
PIAS1,instance of,protein
COX-2,has part,IL-6
STAT1,part of,testis
SOCS1,subclass of,mRNA
NF-κB,instance of,signaling pathways
JAK-STAT,instance of,signaling pathways
cleistogamous,opposite of,chasmogamous
Grass,parent taxon,Poaceae
Poaceae,taxonomic type,Grass
climatic distribution,facet of,climatic
leaf traits,subclass of,trait
primary open-angle glaucoma,subclass of,glaucoma
case-control,subclass of,Cross-sectional
optic nerve imaging,subclass of,blood draw
HSP27,subclass of,HSP family
α-crystallin,subclass of,HSP family
HSP60,subclass of,HSP family
regulatory T cell,subclass of,CD4+
enzyme-linked immunosorbent,subclass of,assays
Retinal nerve fiber layer thickness,facet of,OCT
POAG,instance of,visual field mean deviation
cataract surgery,has effect,thinner RNFLT
thinner RNFLT,has cause,cataract surgery
glaucomatous neurodegeneration,has cause,systemic HSP-specific Th1 cell count
commercial,subclass of,Proprietary
macrophage,subclass of,innate immune cell
neutrophil,subclass of,innate immune cell
inflammatory,has effect,disease
disease,has cause,inflammatory
palmitic acid,subject has role,innate immune memory
fungal,has parts of the class,bacterial
innate immune memory,subclass of,SFA regulation
macrocyclic,subclass of,arenes
Inborn errors of immunity,subclass of,rare diseases
phenotypic,studied by,functional assays
functional assays,studies,phenotypic
flow cytometry,part of,biology
pre-B-I,subclass of,classical X-linked agammaglobulinemia
B cell,part of,peripheral blood
Y551,part of,Btk
Y223,part of,Btk
Btk,instance of,protein
canonical nuclear factor kappa B,has part,IκBα
calcium ion,has part,Ca2
pancreatic tumor,drug used for treatment,paclitaxel
paclitaxel,medical condition treated,pancreatic tumor
spleen,part of,peripheral blood
peripheral blood,has part,spleen
anti-PD-1 antibody,subclass of,check point inhibitor
NK cell mediated ADCC,subclass of,anti-PDL1 antibody
checkpoint inhibitor,subclass of,chemotherapeutic drug
PD-L1,subject has role,check point inhibitor
Acute respiratory distress syndrome,subclass of,acute lung injury
lipopolysaccharide,has effect,COVID-19
COVID-19,has cause,lipopolysaccharide
direct ARDS mice,instance of,model
COVID-19,has effect,ARDS
ARDS,has cause,COVID-19
LPS,has effect,ARDS
ARDS,has cause,LPS
Kyoto Encyclopedia of Genes and Genomes,instance of,Gene ontology
metabolic pathways,has part,cellular processes
cellular processes,part of,metabolic pathways
network analysis,studies,protein-protein interactions
protein-protein interactions,studied by,network analysis
commonly upregulated,opposite of,commonly downregulated
commonly downregulated,opposite of,commonly upregulated
HP,instance of,proteins
LTA4H,instance of,proteins
S100A9,instance of,proteins
SAA1,instance of,proteins
SAA2,instance of,proteins
SERPINA3,instance of,proteins
hyperinflammatory subphenotype,instance of,biomarker
lung cancer,has cause,never-smokers
lung adenocarcinoma,subclass of,lung cancer
lung adenocarcinoma,has cause,smoking
Whole-exome sequencing,uses,genomic DNA
variants,subclass of,single nucleotide
gene list associated with genetic predisposition of cancer,is a list of,gene
Lipid droplets,subclass of,organelle
pathological,subclass of,disease
lymph nodes,part of,lymphatic disorders
lymphatic disorders,has part,lymph nodes
histological classification,studies,lymphoma
lymphoma,studied by,histological classification
lymphatic disorders,instance of,disease subgroups
Non-Hodgkin's Lymphoma,subclass of,lymphatic disorders
proteomic,studies,protein
protein,studied by,proteomic
signature proteins,subclass of,expression profiles
Annexin A6,instance of,protein
Phospholipase C Gamma 2,instance of,protein
Sialic Acid Binding Ig Like Lectin 1,instance of,protein
GTPase of immunity-associated protein 5,instance of,protein
proteome,subclass of,protein
lymphatic malignancies,has effect,lymphoma
lymphoma,subclass of,lymphatic malignancies
Lineage transformation,subclass of,acquired resistance to targeted therapies
acquired resistance to targeted therapies,facet of,non-small cell lung cancer
epithelial-to-mesenchymal transition,subclass of,Transformation to small cell and squamous carcinoma
ALK,has effect,NSCLC
NSCLC,has cause,ALK
clinicaltrials.gov,part of,PubMed
lineage transformation,has cause,ALK-positive NSCLC
ALK-positive,subclass of,NSCLC
NSCLC,has part,ALK-positive
transcriptional reprogramming,subclass of,lineage transformation
translational studies,subclass of,Retrospective cohorts
clinicopathologic,studies,lineage transformation
lineage transformation,studied by,clinicopathologic
lineage transformation,subclass of,diagnostic
antibodies,part of,Breastmilk
Comirnaty,instance of,antibodies
mRNA-1273,instance of,antibodies
ChAdOx1,instance of,antibodies
vesicular stomatitis virus,has part,Wuhan-Hu-1
vesicular stomatitis virus,has part,Delta
vesicular stomatitis virus,has part,BA
Wuhan-Hu-1,part of,vesicular stomatitis virus
Delta,part of,vesicular stomatitis virus
BA,part of,vesicular stomatitis virus
breastmilk,has part,immunoglobulin A
COVID-19 vaccine,has part,ChAdOx1
antibodies,has effect,vaccine
Racial health disparities,subclass of,public health crisis
genetic 'race',studied by,biological
biological,studies,genetic 'race'
ecological,part of,evolutionary
disease classes,part of,population
biomedical,studies,health
health,studied by,biomedical
non-small cell lung cancer,drug used for treatment,epidermal growth factor receptor
epidermal growth factor receptor,medical condition treated,non-small cell lung cancer
osimertinib,subject has role,EGFR inhibitor
reversible,subclass of,inhibitor
osimertinib,instance of,reversible methylindole-aminopyrimidine scaffold
mobocertinib,instance of,reversible methylindole-aminopyrimidine scaffold
EGFR-L858R/T790M/C797S,has part,EGFR-L858R/C797S
EGFR-L858R/C797S,has part,EGFR-L858R/T790M/C797S
C797S,subclass of,EGFR
LAG-3,instance of,gene
cytotoxic,opposite of,immunosuppressive
inhibitors,subclass of,small molecules
thiamine diphosphate,has part,Thiamine
Interrupting thiamine utilization,subclass of,disease state
oxythiamine diphosphate,has part,Oxythiamine
Oxythiamine,medical condition treated,malaria
malaria,drug used for treatment,Oxythiamine
osteosarcoma,has effect,metastasis of the primary cancer
metastasis of the primary cancer,has cause,osteosarcoma
non-curative,subclass of,management options
osteosarcoma metastasis,subclass of,metastasis
epigenomic,part of,Genomic
lymphocyte,has part,macrophage
macrophage,subclass of,lymphocyte
clinical studies,facet of,osteosarcoma
pseudokinase,instance of,protein
programmed cell death,subclass of,caspase-independent
High-risk human papilloma virus infection,has effect,necroptosis
cervical cancer,has cause,infection
progression-free survival,subclass of,survival
microarray,subclass of,immunohistochemically
CaSki,instance of,cell line
HeLa,instance of,cell line
SiHa,instance of,cell line
C2 ceramide,instance of,ceramide
RIPK1,medical condition treated,cervical cancer
RIPK3,medical condition treated,cervical cancer
C2 ceramide,medical condition treated,cervical cancer
cervical cancer,drug used for treatment,C2 ceramide
necrostatin-1,subject has role,RIPK1-inhibitor
necroptosis,subclass of,cell death
CaSki,subclass of,apoptotic cells
necrotic,subclass of,dying
C2 ceramide,medical condition treated,necroptosis
necroptosis,drug used for treatment,C2 ceramide
Sarcoma,instance of,rare
disease heterogeneity,facet of,disease classification
quantitative mass spectrometry,use,proteomics
Sarcoma proteomics,subclass of,proteomics
proteomic,facet of,sarcoma
MS-based proteomic technology,subclass of,Proteomic
histologies,studies,histological subtypes
histological subtypes,studied by,histologies
prognostic,subclass of,biomarkers
chordoma,instance of,histological subtypes
Ewing sarcoma,instance of,histological subtypes
leiomyosarcoma,instance of,histological subtypes
liposarcoma,instance of,histological subtypes
myxofibrosarcoma,instance of,histological subtypes
rhabdomyosarcoma,instance of,histological subtypes
synovial sarcoma,instance of,histological subtypes
proteomics,studies,sarcoma
Lung cancer,subclass of,cancer
Non-small cell lung cancer,subclass of,lung cancer
diagnostic,subclass of,therapeutic
eukaryotic,subclass of,cells
Cancer Genome Atlas,instance of,database
line plot of least absolute shrinkage and selection operator,facet of,transcription factor
5-ethynyl-2'-deoxyuridine,subject has role,cell invasion assay
NSCLC,different from,normal tissues
normal tissues,different from,NSCLC
WGCNA,subclass of,transcription factor
prognostic model,facet of,prognosis
transcription factor analysis,studies,transcription factors
mitochondrial respiration,part of,mitochondria
Xiangya cohort,instance of,BLCA cohorts
classical molecular subtypes,subclass of,BLCA
inflammatory phenotype,subclass of,immune response
neoadjuvant,subclass of,chemotherapy
VM_Score,use,precision medicine
pan-cancer,drug used for treatment,immunotherapy
immunotherapy,medical condition treated,pan-cancer
mitosis,uses,chromatid
chromosome bridge,subclass of,ultra-fine DNA bridge
peritoneal metastasis,subclass of,Epithelial ovarian cancer
Collagen X,subclass of,collagen
esophageal atresia repair,subclass of,Surgical complication
therapeutic measures,has effect,prognosis
C-reactive protein,instance of,inflammatory biomarkers
esophageal atresia,drug used for treatment,Procalcitonin
Procalcitonin,medical condition treated,esophageal atresia
procalcitonin,medical condition treated,complication
complication,drug used for treatment,procalcitonin
POD-1,subclass of,procalcitonin
POD-5,subclass of,procalcitonin
missed detections,subclass of,observation errors
incorrect detections,subclass of,observation errors
Occupancy model,facet of,site visit
scat,subclass of,indirect sign
genome,part of,virus
replicase,subclass of,structural protein
virus,has effect,virulence
virulence,has cause,virus
reverse genetics,subclass of,engineering
virus infection,has effect,ectopic expression
experimental approaches,subclass of,experimental
pathogenesis,has cause,virus
vaccine,different from,antiviral drug
synapse,part of,biology
Diabetic nephropathy,has cause,diabetes mellitus
diabetes mellitus,has effect,Diabetic nephropathy
coptisine,medical condition treated,diabetic nephropathy
diabetic nephropathy,drug used for treatment,coptisine
streptozotocin,medical condition treated,diabetic
Coptisine,medical condition treated,body weight loss
urinary albumin,part of,renal function
serum creatinine,part of,renal function
blood urea nitrogen,part of,renal function
renal function,has part,urinary albumin
renal function,has part,serum creatinine
renal function,has part,blood urea nitrogen
coptisine,medical condition treated,renal fibrosis
renal fibrosis,drug used for treatment,coptisine
target coverage,facet of,particle therapy
adaptive particle therapy,instance of,clinical practice
PT centres,subclass of,APT
World Heritage Site,maintained by,UNESCO
Delphi consensus analysis,publication date,10/2022
head,connects with,neck
neck,connects with,head
APT,uses,plan-library
2008 Summer Olympics,country,People's Republic of China
Beijing,country,People's Republic of China
People's Republic of China,capital,Beijing
APT,use,3D imaging
APT,instance of,technique
integrated,subclass of,efficient
in-room,subclass of,imaging
,used by,PT centres
PT centres <subj>Offline APT,uses,PT centres
research,part of,industry
COVID-19 epidemic,studied by,epidemiology
epidemiology,studies,COVID-19 epidemic
observed wave,subclass of,general time series
waves,part of,time series
time series,has part,waves
modulator,subclass of,waves
COVID-19,instance of,algorithm
case fatality ratio,facet of,observed waves
geographical ranges,facet of,countries
modulated,subclass of,waves
wave,subclass of,disease
Bydgoszcz,country,Poland
Genome-scale modeling,studies,interactions
interactions,studied by,Genome-scale modeling
Flux balance analysis,instance of,genome-scale model
objective,part of,cellular
Flux sampling,different from,FBA
FBA,different from,Flux sampling
sub-maximal growth rate,subclass of,heterogeneity
metabolism,part of,microbial communities
pathway-specific,subclass of,metabolism
cells,part of,organisms
organisms,has parts of the class,cells
biological system,has part,microorganism
microorganism,part of,biological system
culturing microbes,subclass of,conventional methods
molecular methods,subclass of,culture-independent
ecosystem,has part,organism
Advanced Research,field of work,advanced research
genomes,part of,microbial communities
interpretation,subclass of,analysis
Feline soft tissue sarcoma,subclass of,tumors
injection site sarcoma,subclass of,tumors
Histotripsy,subclass of,ultrasound therapy
histotripsy,subclass of,surgical removal
histological,part of,immunological
histotripsy,subclass of,ablation
cavitation,has effect,bubble cloud
bubble cloud,has cause,cavitation
STS,subclass of,tumors
fISS,subclass of,tumors
energy sustainability,facet of,climate change
municipal solid waste sorting scheme,country,China
KW utilization for bioenergy in China,country,China
impacts of bioenergy,facet of,climate change
anaerobic digestate,subclass of,food waste
Firmicutes,instance of,phyla
Bacteroidetes,instance of,phyla
Actinobacteria,instance of,phyla
Proteobacteria,instance of,phyla
Firmicutes,instance of,bacteria
digestate,part of,soil
macrolide,subject has role,multidrug
lincosamide,subject has role,multidrug
streptogramin,subject has role,multidrug
bacitracin,subject has role,multidrug
aminoglycoside,subject has role,multidrug
tetracycline,subject has role,multidrug
vancomycin,subject has role,multidrug
food waste,has part,digestate
digestate,part of,food waste
sulfonamide,subject has role,multidrug
bacteriocin,subject has role,multidrug
quinolone,subject has role,multidrug
rifampin,subject has role,multidrug
aminoglycoside,instance of,gene
tetracycline,instance of,gene
sulfonamide,instance of,gene
rifamycin,instance of,gene
fosmidomycin,subject has role,multidrug
genera,subclass of,bacterial
Actinobacteria,parent taxon,Proteobacteria
Proteobacteria,taxonomic type,Actinobacteria
Soil carbon (C) sequestration,facet of,mitigating climate change
Nitrogen,has part,C
C dynamics,has part,C
C,has part,N
Qinghai,shares border with,Tibet Plateau
Tibet Plateau,shares border with,Qinghai
non-N treatment,subclass of,control
topsoil,has part,C
organic,has part,C
N addition,has part,C
C,part of,N addition
cellobiohydrolase,subclass of,"β-1,4-glucosidase"
topsoil,opposite of,subsoil
subsoil,opposite of,topsoil
grassland,subclass of,ecosystem
ecosystems,part of,societies
societies,has part,ecosystems
Earth system,has part,atmosphere
atmosphere,part of,Earth system
biota,part of,ecosystem
panarchy,part of,meta-ecosystem
vulnerability assessment,facet of,risk
American Society for Neural Therapy and Repair,inception,1993
neurodegenerative disorders,has effect,treat them
treat them,facet of,neurodegenerative disorders
Neural Therapy and Repair,subclass of,neural transplantation
Society's years,instance of,Co-Founder
adaptation,facet of,environmental stress
morphotype,facet of,fungal pathogens
blastospore,subclass of,fungal
chlamydospore,subclass of,fungal
regulatory mechanisms,facet of,switch
heat stress,subclass of,response
ZtMsr1,subclass of,transcription factor
chlamydospore,part of,hypha
heat stress,subclass of,osmotic stress
cell wall integrity,part of,hypha
hypha,has part,cell wall integrity
ZtMsr1,instance of,gene
morphological,studies,fungi
fungi,studied by,morphological
long noncoding RNA,part of,gene expression
influenza A virus,has part,host lncRNA
LncRNA#61,subclass of,functional lncRNA
H1N1,subclass of,IAV
H5N1,subclass of,IAV
H7N9,subclass of,IAV
H1N1 virus,subclass of,IAV
H4N6,subclass of,IAV
H6N2/N8,subclass of,IAV
H8N4,subclass of,IAV
H10N3,subclass of,IAV
H11N2/N6/N9 virus,subclass of,IAV
LncRNA#61,instance of,expression
lipid nanoparticle,subclass of,encapsulated
viral replication cycle,has part,virus entry
viral replication cycle,has part,viral RNA synthesis
viral replication cycle,has part,virus release period
virus entry,part of,viral replication cycle
viral RNA synthesis,part of,viral replication cycle
virus release period,part of,viral replication cycle
viral polymerase,subclass of,polymerase components
LncRNA#61,subclass of,antiviral factor
broad anti-IAV therapeutics,facet of,IAV
word,part of,alphabet
alphabet,has part,word
codes,subclass of,encoded
sets,studied by,graph theoretical
non-codes,opposite of,codes
circular,subclass of,mixed set
genetic code,instance of,evolution model
Heat stress,has effect,crop yield loss
crop yield loss,has cause,Heat stress
heat shock protein,has effect,heat stress
GhHSP70-26,instance of,promoter
GhHSP70-26,subclass of,promoter
GhHSP70-26,instance of,expression
GhHSP70-26,part of,M-1590-Del22 cotton
GhHSP70-26,part of,M-1590-In type cotton
M-1590-Del22 cotton,has part,GhHSP70-26
M-1590-In type cotton,has part,GhHSP70-26
M-1590-Del22,instance of,cotton
Hap1,subclass of,promoter
succinyl β-substituent,subclass of,benzodiazepine
succinyl,subclass of,α-substituent
chronodisruption,facet of,circadian rhythms
intermittent fasting,subclass of,dietary treatment of obesity
high-fat diet,subclass of,metabolic
chronodisruption,subclass of,metabolic damage
high-fat diet,has effect,metabolic damage and chronodisruption
metabolic damage and chronodisruption,has cause,high-fat diet
TRF,subclass of,Ad libitum
Cch-amide2,subclass of,neuropeptide
Ad libitum,has effect,metabolic damage
circadian rhythm,has part,peripheral clock
peripheral clock,part of,circadian rhythm
circadian cycle,subclass of,chronodisruption
Fibromyalgia,subclass of,chronic pain syndrome
fibromyalgia treated with BMSCs,medical condition treated,fibromyalgia
Physical,has part,behavioural
behavioural,part of,Physical
histological,part of,biochemical
fatigue,has effect,pain
MDA,subclass of,monoamine
NO,subclass of,monoamine
TNF-alpha,subclass of,monoamine
HMGB-1,subclass of,monoamine
NLRP3,subclass of,monoamine
caspase-1,subclass of,monoamine
neuroglia,has part,microglia
microglia,part of,neuroglia
Beclin-1,subclass of,immune-expression
TNF-alpha,subject has role,oxidative stress markers
HMGB-1,subject has role,oxidative stress markers
NLRP3,subject has role,oxidative stress markers
caspase-1,subject has role,oxidative stress markers
mast cell,part of,cerebral cortices
fibromyalgia,has cause,cerebral cortical damage
cerebral cortical damage,has effect,fibromyalgia
NLRP3,part of,inflammasome signaling pathway
ELISA,subclass of,mass spectrometry
adipokinetic hormone,instance of,hormone
histamine,part of,gut
AKH,has part,histamine
venom,has part,vitellogenin
Lipid,subclass of,metabolite
digestive enzymes,has part,venom
bee venom,has part,AKH
AKH,part of,bee venom
alternative defence mechanisms,subclass of,defence mechanisms
Raloxifene,medical condition treated,fracture risk
fracture risk,drug used for treatment,Raloxifene
fracture,has cause,material level-mechanical properties
material level-mechanical properties,has effect,fracture
bone mass,has effect,density
density,has cause,bone mass
RAL,facet of,hydration
C57BL/6,subclass of,mice
ex vivo,subclass of,experimental
ex vivo soaking,subclass of,incubated
porosity,instance of,bone phenotype
cortical thinning,instance of,bone phenotype
magic angle spinning,subclass of,nuclear magnetic resonance spectroscopy
2-way ANOVA,uses,two-tailed t-tests
significant main effect,used by,Tukey's post hoc analyses
cortical thickness,instance of,phenotype
cortical porosity,instance of,phenotype
deformable bones,has effect,CKD
CAL,part of,CKD
Con bone,subclass of,mechanical properties
CAL,opposite of,VEH
VEH,opposite of,CAL
CKD bone,opposite of,Con bone
Con bone,opposite of,CKD bone
CAL,different from,RAL
RAL,different from,CAL
CKD bone,different from,Con bone
Con bone,different from,CKD bone
Con,subclass of,CKD
bound water fraction,subclass of,Therapeutic modulation of water
immunity,part of,physiology
amphibian,subclass of,vertebrate
macrophage,subclass of,innate immune cells
larva,followed by,adult
Xenopus laevis,parent taxon,amphibian
Macrophage,instance of,lineage cell
ontogeny,part of,evolution
Respiratory failure,has cause,COVID-19
COVID-19,has effect,Respiratory failure
inflammation,has cause,Neutrophil extracellular trap
experimental acute respiratory distress syndrome,drug used for treatment,DNase-I
Intranasal poly(I:C),instance of,synthetic
bronchoalveolar lavage fluid,subclass of,hypoxic lung tissue
poly(I:C),has effect,inflammation
platelet,part of,coagulation
coagulopathy,has cause,NETs
Prosthetic heart valve,medical condition treated,valvular heart disease
valvular heart disease,drug used for treatment,Prosthetic heart valve
Mechanical valve,subclass of,valve
thrombosis,has effect,bleeding
bleeding,has cause,thrombosis
mechanical valve,medical condition treated,thrombosis
thrombosis,drug used for treatment,mechanical valve
catechol,instance of,drug
ticagrelor,subject has role,antithrombotic
minocycline,subject has role,antithrombotic
hydrodynamic,has part,hemocompatibility
hemocompatibility,part of,hydrodynamic
platelet adhesion,part of,coagulation
